,fluxes
R_FAS160COA,0.006663040394448333
R_FAS180COA,0.0034224689936493287
R_CHRPL,0.0
R_CHTNDA,0.0
R_CHTNS,0.00933701286873289
R_CITt2r,0.0
R_FAS80COA_L,0.00794059290017928
R_CITtap,0.0
R_CITtbm,-0.0006977956023189776
R_CITtcm,0.19867293618268492
R_CITtcp,0.0
R_CLPNSm_SC,0.0
R_CMPN,0.0
R_CMPtm,0.0
R_DHFRi,0.0
R_CO2tg,0.0
R_FTHFL,0.0
R_CO2tn,0.0
R_CO2tp,0.0
R_CO2tv,0.0
R_CPPPGO,0.0
R_CRNCARtm,0.0
R_CRNCARtp,0.0
R_CRNt,0.0
R_CRNtim,0.0
R_CRNtp,0.0
R_CSNAT,0.0
R_CSNATifm,0.0
R_CSNATirm,0.0
R_CSNATirp,0.0
R_CSND,0.0
R_CSNt2,0.0
R_CSp,0.0
R_CTPS1,0.001326070376919306
R_CTPS2,0.0
R_MAN1PT,0.0025357492506470534
R_CYSTGL,0.0
R_CYSTL,0.0
R_CYSTLp,0.0
R_CYSTRS,0.0
R_CYSTS,0.0
R_CYSTtp,0.0
R_CYSt2r,0.0
R_CYTD,0.0
R_CYTDK2,0.0
R_CYTDt2,0.0
R_CYTK1,0.0011712670022587565
R_CYTK2,0.0
R_DADK,-4.993600793725201e-05
R_DADNt2,0.0
R_DADPtn,0.0
R_DAGCPT_SC,0.0
R_MAN6PI,-0.0025357492506470534
R_DANNt2,0.0
R_PMANM,-0.0025357492506470534
R_DASYNm_SC,0.0
R_DB4PS,0.0
R_DBTSr,0.0
R_DCDPtn,0.0
R_DCMPDA,-5.1728435379389276e-05
R_DCTPD,0.0
R_DCYTD,0.0
R_DCYTt2,0.0
R_GLUDy,-0.04375412900805027
R_DDPAm,0.0006977956023189776
R_DESAT14,0.0
R_ANS,1.1703411880807934e-05
R_GLNS,0.025771861599675417
R_G3PD1ir,0.07677503110017475
R_DGDPtn,0.0
R_DGK1,-4.5765503346002485e-05
R_DGSNt2,0.0
R_TRIGSY_GLC,0.0
R_GCC2am,0.0031326169322504825
R_DHAK,0.0
R_DHAPtm,0.07322652413851995
R_GCC2bim,0.0031326169322504825
R_DHFRim,5.133173485983944e-05
R_DHFtm,5.133173485983944e-05
R_DHNPTtm,0.0
R_DHORD,0.0
R_HSDyi,0.0
R_DHORTS,0.0
R_PGCD,0.014385407740202328
R_PSERT,0.014385407740202328
R_DHPPDA,0.0
R_DHPSm,0.0
R_DHPTtm,0.0
R_PSP_L,0.014385407740202328
R_ENO,1.26349198011615
R_DIAT,0.0
R_DICtm,0.0
R_DINSt2,0.0
R_DIPS,0.0
R_DMATT,0.0027588038014282976
R_DMQMT6m,0.0
R_DNMPPA,0.0
R_DNTPPA,0.0
R_ddca_t_,0.0
R_DOLK,0.0
R_FBA,0.6416885390581248
R_G6PI,0.0
R_GAPD,1.277877387856352
R_DPCOAK,0.0
R_DPCOAKm,0.0
R_DPGM,0.0
R_GLUK,0.0
R_DPR,0.0
R_DPRm,0.0
R_DRBK,0.0
R_DTMPK,0.0
R_DTTPt,0.0
R_DUMPtn,0.0
R_DURIK1,0.0
R_DURIPP,0.0
R_DURIt2,0.0
R_DUTPDP,0.0
R_DXHPScm,0.0
R_D_LACDm,0.0
R_D_LACtm,0.0
R_E4HGLUtm,0.0
R_E4HGLUtp,0.0
R_E4Ptm,0.0006977956023189776
R_ECOAH11p,0.0
R_ECOAH4p,0.0
R_ECOAH5p,0.0
R_ECOAH6p,0.0
R_ECOAH7p,0.0
R_ECOAH8p,0.0
R_EHGLAT,0.0
R_EHGLATm,0.0
R_EHGLATp,0.0
R_HEX7,0.0
R_EPMGH,0.0
R_ERGSTt,0.0
R_PDHm,0.6873955443101866
R_PFK,0.6416885390581248
R_ETHAK,0.0
R_ETHAPT_SC,0.0
R_ETOHt,0.0
R_ETOHtm,0.0
R_EX_13BDglcn(e),0.0
R_EX_4abut(e),0.0
R_EX_5aop(e),0.0
R_EX_8aonn(e),0.0
R_EX_abt(e),0.0
R_EX_ac(e),0.0002703901879775811
R_EX_ade(e),0.0
R_EX_adn(e),0.0
R_EX_akg(e),0.0
R_EX_ala_L(e),0.0
R_EX_alltn(e),0.0
R_EX_alltt(e),0.0
R_EX_amet(e),0.0
R_EX_arab_D(e),0.0
R_EX_arab_L(e),0.0
R_EX_arg_L(e),0.0
R_EX_asn_L(e),0.0
R_EX_asp_L(e),0.0
R_EX_buca(e),0.0
R_EX_btn(e),0.0
R_EX_chol(e),0.0
R_EX_cit(e),0.0
R_EX_co2(e),2.544634337429483
R_EX_crn(e),0.0
R_EX_csn(e),0.0
R_EX_cys_L(e),0.0
R_EX_cytd(e),0.0
R_EX_dad_2(e),0.0
R_EX_dann(e),0.0
R_EX_dcyt(e),0.0
R_EX_ddca(e),0.0
R_EX_dgsn(e),0.0
R_EX_din(e),0.0
R_EX_dttp(e),0.0
R_EX_duri(e),0.0
R_EX_ergst(e),0.0
R_EX_etoh(e),0.4869357794318982
R_EX_fmn(e),0.0
R_EX_for(e),0.0013794019007141488
R_EX_fru(e),0.0
R_EX_fum(e),0.0
R_EX_gal(e),0.0
R_EX_gam6p(e),0.0
R_EX_gcald(e),0.0
R_EX_glc(e),-0.6699999999999999
R_EX_gln_L(e),0.0
R_EX_glu_L(e),0.0
R_EX_gly(e),0.0
R_EX_glyc(e),0.0
R_EX_gsn(e),0.0
R_EX_gthox(e),0.0
R_EX_gua(e),0.0
R_EX_h2o(e),2.2304167470949805
R_EX_h(e),-0.0092639013616355
R_EX_hdca(e),0.0
R_EX_hca(e),0.0
R_EX_hdcea(e),0.0
R_EX_his_L(e),0.0
R_EX_hxan(e),0.0
R_EX_ile_L(e),0.0
R_EX_inost(e),0.0
R_EX_ins(e),0.0
R_EX_k(e),0.0
R_EX_lac_L(e),0.0
R_EX_leu_L(e),0.0
R_EX_lys_L(e),0.0
R_EX_mal_L(e),0.0
R_EX_malt(e),0.0
R_EX_man(e),0.0
R_EX_melib(e),0.0
R_EX_met_L(e),0.0
R_EX_mmet(e),0.0
R_EX_na1(e),0.0
R_EX_nh4(e),-0.06725104386414665
R_EX_nmn(e),0.0
R_EX_o2(e),-2.0
R_EX_ocdca(e),0.0
R_EX_ocdcea(e),0.0
R_EX_ocdcya(e),0.0
R_EX_orn(e),0.0
R_EX_pap(e),0.0
R_EX_phe_L(e),0.0
